# schema=1
# task=121
# selected_by=KuiklyUI staging3@7724745c2f5b3a8edc34bfd7c644649c61f36256
# selection=current combined OHOS dependency closure only
# resolver_receipt_sha256=9d92375134765185a05e4f0e19bdef80dbd6e30516383572800b6e1abd0f4f09
# supersedes_packet_sha256=c3fe49d71ffaed80d145912e01a1617fe494d1ac23b5c4c3e14f087fd1fac91c
# excluded=coroutines 1.8.0-KBA-001 and dotted atomicfu 0.23.2.KBA-001 historical families
# provenance=canonical Tencent Maven bytes; exact source-to-publication run is not publicly auditable
groupId	artifactId	version	path	size	sha256	authority
org.jetbrains.kotlinx	atomicfu	0.23.2-KBA-001	org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001-sources.jar	14839	2478dee7d869b4f6550fb577ec4eacd8ce4640bceac51948a1ba1d563d1aaa43	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001-sources.jar
org.jetbrains.kotlinx	atomicfu	0.23.2-KBA-001	org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001.jar	25195	4ccd4f9c9e17f26f19eacddbdf393939b1bd3deb2b1060bc27f4d97d567f65c8	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001.jar
org.jetbrains.kotlinx	atomicfu	0.23.2-KBA-001	org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001.module	46933	3494c27ded30063d5c505f66a38796e45b23647d4efe7507619d2cbfa76b2877	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001.module
org.jetbrains.kotlinx	atomicfu	0.23.2-KBA-001	org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001.pom	1683	40c6c9eb49a7feefb5fac551278ce024a3f2225a906e00ca1e07fd579248b27a	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/atomicfu/0.23.2-KBA-001/atomicfu-0.23.2-KBA-001.pom
org.jetbrains.kotlinx	kotlinx-coroutines-core-ohosarm64	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002-cinterop-interop.klib	7692	898573e8156538b6e05d39f924ef5826989281422020cdb47083c8102049b473	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002-cinterop-interop.klib
org.jetbrains.kotlinx	kotlinx-coroutines-core-ohosarm64	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002-sources.jar	309422	86252dc4e97b6acb264ae91ffcae0c665bb3d16880383d341ed267c945eefdd0	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002-sources.jar
org.jetbrains.kotlinx	kotlinx-coroutines-core-ohosarm64	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002.klib	886771	06265093e5d8fe265e43dd4143e49811eba5d732fc6535cbfde3deb5fdb8255e	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002.klib
org.jetbrains.kotlinx	kotlinx-coroutines-core-ohosarm64	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002.module	3330	718b18a8594c9a5c24f8717bc0b61209d66879373fe5862338f601ce057be27c	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002.module
org.jetbrains.kotlinx	kotlinx-coroutines-core-ohosarm64	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002.pom	1949	63a4ae2aa2206fcda4ca50bf7944d0b121c017eaaeafaaf0bcc600f8c3a28622	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core-ohosarm64/1.8.0-KBA-002/kotlinx-coroutines-core-ohosarm64-1.8.0-KBA-002.pom
org.jetbrains.kotlinx	kotlinx-coroutines-core	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002-sources.jar	321917	e45f44153a7cc9014051df01e4b570ebe2cac7df1c5baed05359e38233981f72	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002-sources.jar
org.jetbrains.kotlinx	kotlinx-coroutines-core	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002.jar	137239	df28974d8048ff5ab0b798b8de3ec4b0175315964a44d2ebf30916c260b108c2	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002.jar
org.jetbrains.kotlinx	kotlinx-coroutines-core	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002.module	47839	ce9168e01c8e44fe24d5172785be5650ff6ad86493aa152b9723e61b283f6281	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002.module
org.jetbrains.kotlinx	kotlinx-coroutines-core	1.8.0-KBA-002	org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002.pom	2081	e2d09c2191376cfca79cdcaaa1dd30abc485ab9fc75eb634446c9417a2d1fddd	https://mirrors.tencent.com/repository/maven-tencent/org/jetbrains/kotlinx/kotlinx-coroutines-core/1.8.0-KBA-002/kotlinx-coroutines-core-1.8.0-KBA-002.pom
